trust_in_ai,ai_reliability,n,eff_delta_mean,eff_delta_se,eff_delta_sd,eff_delta_ci_low,eff_delta_ci_high,share_positive,defect_delta_mean,defect_delta_se,trust_calibration_mean,trust_calibration_se,trust_gap
0.7,0.6,40,1.131,0.6671,4.166,-0.1765,2.4385,0.65,-1.2431,1.4901,87.264,0.8168,0.1
0.7,0.65,40,1.4773,0.7066,4.4127,0.0924,2.8622,0.625,-3.3195,1.3072,90.82,0.7348,0.05
0.7,0.7,40,1.3953,0.6247,3.9015,0.1708,2.6198,0.7,-2.2952,1.1704,93.978,0.6306,0.0
0.7,0.75,40,1.3352,0.5539,3.459,0.2495,2.4208,0.7,-1.566,1.3531,95.737,0.4908,-0.05
0.7,0.8,40,1.6516,0.6362,3.9731,0.4046,2.8985,0.675,-1.9757,1.3695,95.556,0.5765,-0.1
0.7,0.85,40,1.9505,0.6078,3.7958,0.7592,3.1418,0.625,-3.4132,1.387,93.092,0.7066,-0.15
0.7,0.9,40,1.9094,0.6681,4.1726,0.5999,3.219,0.65,-3.1945,1.5713,89.747,0.8146,-0.2
0.7,0.95,40,1.7139,0.6161,3.8473,0.5064,2.9214,0.7,-2.3855,1.2629,85.923,0.8169,-0.25
0.75,0.3,40,0.0253,0.6464,4.0367,-1.2416,1.2922,0.6,-1.6666,1.4054,60.76,0.7857,0.45
0.75,0.35,40,-0.1244,0.7026,4.3876,-1.5015,1.2527,0.475,-0.7812,1.4452,64.591,0.7857,0.4
0.75,0.4,40,0.6011,0.6824,4.2616,-0.7364,1.9386,0.525,-1.0416,1.2925,68.421,0.7857,0.35
0.75,0.45,40,0.8353,0.6988,4.3642,-0.5344,2.2049,0.625,-2.5278,1.265,72.252,0.7857,0.3
0.75,0.5,40,1.2053,0.7302,4.56,-0.2259,2.6364,0.55,-3.5243,1.432,76.081,0.7857,0.25
0.75,0.55,40,0.4861,0.6864,4.2868,-0.8593,1.8315,0.55,-1.8681,1.2526,79.912,0.7857,0.2
0.75,0.6,40,1.0722,0.6751,4.216,-0.251,2.3954,0.65,-1.2883,1.3447,83.742,0.7857,0.15
0.75,0.65,40,1.2093,0.6887,4.3012,-0.1407,2.5592,0.6,-1.6529,1.4754,87.573,0.7856,0.1
0.75,0.7,40,1.4132,0.6534,4.0808,0.1325,2.694,0.7,-1.5625,1.4519,91.09,0.6905,0.05
0.75,0.75,40,1.2114,0.5833,3.6427,0.0681,2.3546,0.65,-1.4722,1.2967,94.248,0.5929,0.0
